interaction_id,customer_id,product_id,interaction_type,rating,category,price,date
I000001,C0001,P0409,cart,0,Grocery,1207.85,2024-12-27
I000002,C0002,P0301,cart,0,Beauty,2728.95,2025-02-26
I000003,C0002,P0367,purchase,2,Toys,876.23,2023-05-18
I000004,C0002,P0173,purchase,1,Clothing,2350.86,2024-04-24
I000005,C0002,P0402,purchase,2,Grocery,496.82,2024-01-20
I000006,C0002,P0229,purchase,5,Home & Kitchen,5523.02,2024-05-19
I000007,C0002,P0301,purchase,4,Beauty,2728.95,2023-09-03
I000008,C0002,P0060,purchase,1,Books,2249.83,2024-09-18
I000009,C0002,P0232,view,0,Home & Kitchen,291.83,2023-07-25
I000010,C0002,P0010,view,0,Electronics,496.46,2025-02-01
I000011,C0002,P0197,cart,0,Home & Kitchen,228.56,2023-07-21
I000012,C0002,P0032,purchase,3,Electronics,1563.45,2023-03-22
I000013,C0002,P0401,cart,0,Grocery,1200.48,2023-03-01
I000014,C0002,P0306,view,0,Beauty,260.73,2024-09-30
I000015,C0002,P0357,view,0,Toys,546.38,2024-12-02
I000016,C0002,P0223,purchase,5,Home & Kitchen,1020.88,2023-09-21
I000017,C0002,P0382,purchase,2,Toys,770.71,2024-08-23
I000018,C0002,P0391,purchase,2,Toys,1357.8,2023-07-06
I000019,C0002,P0185,view,0,Home & Kitchen,465.57,2024-11-09
I000020,C0002,P0192,view,0,Home & Kitchen,5596.44,2024-03-06
I000021,C0002,P0238,purchase,1,Sports,1463.26,2024-02-10
I000022,C0002,P0025,purchase,1,Electronics,5138.59,2023-09-06
I000023,C0002,P0453,purchase,1,Grocery,598.74,2023-12-24
I000024,C0002,P0186,purchase,3,Home & Kitchen,1580.51,2024-04-13
I000025,C0002,P0224,view,0,Home & Kitchen,696.92,2023-04-28
I000026,C0002,P0158,purchase,5,Clothing,4811.9,2024-07-24
I000027,C0002,P0090,purchase,1,Books,424.82,2024-03-13
I000028,C0002,P0422,view,0,Grocery,2723.82,2024-06-06
I000029,C0002,P0104,cart,0,Books,2590.99,2024-04-16
I000030,C0002,P0051,purchase,1,Electronics,569.86,2025-03-22
I000031,C0002,P0254,cart,0,Sports,1133.47,2024-05-22
I000032,C0002,P0107,cart,0,Books,857.22,2023-09-06
I000033,C0002,P0294,purchase,5,Beauty,1976.98,2023-02-14
I000034,C0002,P0236,view,0,Sports,355.14,2024-05-16
I000035,C0002,P0323,cart,0,Beauty,457.68,2023-11-17
I000036,C0002,P0333,view,0,Beauty,262.02,2024-06-23
I000037,C0003,P0243,purchase,2,Sports,1174.17,2024-08-06
I000038,C0003,P0268,purchase,5,Sports,350.5,2022-11-15
I000039,C0003,P0193,cart,0,Home & Kitchen,591.26,2024-02-09
I000040,C0003,P0193,view,0,Home & Kitchen,591.26,2023-01-27
I000041,C0003,P0333,purchase,2,Beauty,262.02,2023-10-25
I000042,C0003,P0284,purchase,1,Sports,3547.9,2024-03-12
I000043,C0003,P0252,purchase,1,Sports,813.09,2024-08-22
I000044,C0003,P0263,purchase,3,Sports,2000.21,2022-10-29
I000045,C0003,P0134,purchase,4,Clothing,122.13,2023-08-11
I000046,C0003,P0358,purchase,1,Toys,920.5,2022-10-21
I000047,C0003,P0314,view,0,Beauty,814.37,2023-03-07
I000048,C0003,P0255,purchase,1,Sports,505.19,2025-02-10
I000049,C0003,P0380,view,0,Toys,217.46,2024-06-25
I000050,C0003,P0166,cart,0,Clothing,1543.36,2025-05-28
I000051,C0003,P0277,purchase,1,Sports,202.22,2023-11-03
I000052,C0003,P0395,view,0,Toys,675.51,2022-08-18
I000053,C0003,P0199,purchase,5,Home & Kitchen,2594.47,2023-11-18
I000054,C0003,P0024,cart,0,Electronics,573.84,2023-11-30
I000055,C0003,P0292,purchase,1,Beauty,345.74,2024-09-11
I000056,C0003,P0011,view,0,Electronics,822.02,2023-02-02
I000057,C0003,P0364,purchase,3,Toys,3553.16,2022-11-03
I000058,C0003,P0095,purchase,2,Books,5069.6,2022-10-26
I000059,C0003,P0269,purchase,4,Sports,1450.67,2023-04-13
I000060,C0003,P0211,purchase,4,Home & Kitchen,2769.09,2023-12-30
I000061,C0003,P0179,view,0,Home & Kitchen,1073.31,2025-02-23
I000062,C0003,P0373,purchase,3,Toys,4720.51,2022-09-09
I000063,C0003,P0299,purchase,1,Beauty,2008.64,2022-12-08
I000064,C0003,P0204,view,0,Home & Kitchen,12357.67,2023-04-02
I000065,C0003,P0194,purchase,1,Home & Kitchen,1830.49,2024-04-03
I000066,C0003,P0293,purchase,1,Beauty,2360.49,2024-11-30
I000067,C0003,P0351,purchase,3,Toys,2328.73,2025-03-24
I000068,C0003,P0284,view,0,Sports,3547.9,2025-05-07
I000069,C0003,P0266,purchase,5,Sports,1161.73,2022-10-03
I000070,C0003,P0184,view,0,Home & Kitchen,5324.36,2024-03-20
I000071,C0003,P0357,purchase,2,Toys,546.38,2023-12-15
I000072,C0003,P0301,purchase,4,Beauty,2728.95,2024-02-26
I000073,C0003,P0238,view,0,Sports,1463.26,2023-04-26
I000074,C0003,P0236,purchase,3,Sports,355.14,2023-12-14
I000075,C0003,P0250,purchase,1,Sports,1415.32,2022-09-19
I000076,C0003,P0348,purchase,5,Toys,2650.04,2025-02-18
I000077,C0003,P0297,cart,0,Beauty,858.47,2024-08-23
I000078,C0003,P0358,purchase,1,Toys,920.5,2025-02-05
I000079,C0003,P0235,view,0,Sports,1581.89,2025-03-24
I000080,C0003,P0263,cart,0,Sports,2000.21,2023-11-15
I000081,C0003,P0357,purchase,1,Toys,546.38,2023-01-16
I000082,C0003,P0185,view,0,Home & Kitchen,465.57,2024-03-20
I000083,C0003,P0223,cart,0,Home & Kitchen,1020.88,2024-04-01
I000084,C0003,P0262,view,0,Sports,380.1,2022-08-26
I000085,C0003,P0378,purchase,5,Toys,216.17,2023-06-24
I000086,C0003,P0025,cart,0,Electronics,5138.59,2024-03-16
I000087,C0003,P0181,purchase,3,Home & Kitchen,5817.31,2022-11-11
I000088,C0003,P0185,purchase,3,Home & Kitchen,465.57,2024-05-05
I000089,C0003,P0202,view,0,Home & Kitchen,902.75,2024-01-30
I000090,C0003,P0194,view,0,Home & Kitchen,1830.49,2025-01-14
I000091,C0003,P0255,purchase,1,Sports,505.19,2024-06-09
I000092,C0003,P0368,purchase,5,Toys,754.14,2024-05-30
I000093,C0003,P0265,purchase,5,Sports,5261.75,2025-01-18
I000094,C0003,P0186,purchase,3,Home & Kitchen,1580.51,2024-08-28
I000095,C0003,P0361,cart,0,Toys,1133.0,2023-12-06
I000096,C0003,P0264,purchase,1,Sports,591.71,2022-12-11
I000097,C0003,P0182,purchase,4,Home & Kitchen,3425.58,2022-12-24
I000098,C0003,P0208,view,0,Home & Kitchen,1496.77,2024-09-03
I000099,C0003,P0326,view,0,Beauty,633.15,2023-03-22
I000100,C0003,P0013,cart,0,Electronics,997.12,2022-11-16
I000101,C0003,P0050,purchase,1,Electronics,1244.64,2024-11-09
I000102,C0003,P0248,cart,0,Sports,728.94,2024-07-15
I000103,C0003,P0233,purchase,1,Sports,778.47,2023-02-01
I000104,C0003,P0441,view,0,Grocery,3138.26,2024-05-12
I000105,C0003,P0028,view,0,Electronics,431.31,2024-07-18
I000106,C0003,P0104,view,0,Books,2590.99,2022-12-14
I000107,C0003,P0354,view,0,Toys,1101.48,2024-04-24
I000108,C0003,P0096,purchase,1,Books,646.27,2024-08-24
I000109,C0003,P0343,purchase,1,Beauty,5030.11,2024-07-11
I000110,C0003,P0344,cart,0,Beauty,443.09,2023-03-10
I000111,C0003,P0193,purchase,2,Home & Kitchen,591.26,2023-05-12
I000112,C0003,P0408,view,0,Grocery,2292.3,2024-12-19
I000113,C0003,P0451,view,0,Grocery,283.68,2024-05-03
I000114,C0003,P0125,purchase,5,Clothing,1311.35,2022-09-03
I000115,C0003,P0081,purchase,5,Books,1864.97,2024-10-08
I000116,C0003,P0007,purchase,3,Electronics,643.13,2024-04-27
I000117,C0003,P0330,purchase,1,Beauty,200.95,2023-02-06
I000118,C0003,P0083,purchase,5,Books,394.52,2023-06-01
I000119,C0003,P0024,view,0,Electronics,573.84,2025-03-30
I000120,C0003,P0393,view,0,Toys,3972.37,2023-12-30
I000121,C0003,P0114,purchase,1,Books,463.68,2023-12-02
I000122,C0003,P0015,view,0,Electronics,253.17,2022-09-01
I000123,C0003,P0113,cart,0,Books,692.24,2022-08-29
I000124,C0003,P0440,cart,0,Grocery,564.97,2025-05-17
I000125,C0003,P0378,cart,0,Toys,216.17,2022-09-19
I000126,C0003,P0342,view,0,Beauty,2020.64,2024-01-10
I000127,C0003,P0250,purchase,1,Sports,1415.32,2024-10-20
I000128,C0004,P0031,purchase,2,Electronics,1678.36,2022-11-11
I000129,C0004,P0217,view,0,Home & Kitchen,1504.08,2023-06-11
I000130,C0004,P0126,purchase,1,Clothing,172.34,2023-10-15
I000131,C0004,P0258,view,0,Sports,224.45,2023-09-18
I000132,C0004,P0001,view,0,Electronics,2487.45,2024-05-27
I000133,C0004,P0127,cart,0,Clothing,2226.27,2023-02-13
I000134,C0004,P0247,view,0,Sports,239.16,2024-07-21
I000135,C0004,P0218,purchase,5,Home & Kitchen,961.98,2024-03-30
I000136,C0004,P0271,purchase,1,Sports,436.96,2023-06-04
I000137,C0004,P0046,purchase,5,Electronics,3320.97,2023-04-14
I000138,C0004,P0215,view,0,Home & Kitchen,1628.82,2022-12-06
I000139,C0004,P0057,cart,0,Electronics,178.28,2023-08-17
I000140,C0004,P0237,cart,0,Sports,585.27,2023-07-18
I000141,C0004,P0038,view,0,Electronics,935.72,2022-08-11
I000142,C0004,P0043,view,0,Electronics,612.21,2023-01-18
I000143,C0004,P0161,cart,0,Clothing,4482.57,2022-08-16
I000144,C0004,P0188,purchase,1,Home & Kitchen,4604.99,2022-07-07
I000145,C0004,P0208,purchase,1,Home & Kitchen,1496.77,2024-03-31
I000146,C0004,P0225,view,0,Home & Kitchen,725.83,2023-06-23
I000147,C0004,P0202,view,0,Home & Kitchen,902.75,2024-11-27
I000148,C0004,P0014,view,0,Electronics,5154.95,2022-12-05
I000149,C0004,P0172,purchase,4,Clothing,745.68,2022-08-18
I000150,C0004,P0018,view,0,Electronics,400.77,2025-01-18
I000151,C0004,P0035,purchase,2,Electronics,1057.6,2024-05-26
I000152,C0004,P0027,purchase,5,Electronics,122.64,2023-09-09
I000153,C0004,P0046,view,0,Electronics,3320.97,2023-01-09
I000154,C0004,P0279,cart,0,Sports,2478.08,2023-04-18
I000155,C0004,P0235,view,0,Sports,1581.89,2022-03-26
I000156,C0004,P0210,view,0,Home & Kitchen,132.65,2023-12-31
I000157,C0004,P0260,purchase,3,Sports,859.89,2024-05-29
I000158,C0004,P0434,purchase,4,Grocery,550.16,2022-12-29
I000159,C0004,P0192,cart,0,Home & Kitchen,5596.44,2024-01-24
I000160,C0004,P0181,cart,0,Home & Kitchen,5817.31,2023-10-15
I000161,C0004,P0443,cart,0,Grocery,508.07,2024-12-20
I000162,C0004,P0269,cart,0,Sports,1450.67,2023-02-09
I000163,C0004,P0270,cart,0,Sports,315.52,2023-10-31
I000164,C0004,P0229,view,0,Home & Kitchen,5523.02,2024-07-17
I000165,C0004,P0210,view,0,Home & Kitchen,132.65,2024-07-27
I000166,C0004,P0219,purchase,1,Home & Kitchen,1181.29,2022-11-03
I000167,C0004,P0240,cart,0,Sports,2239.4,2024-12-15
I000168,C0004,P0183,purchase,1,Home & Kitchen,3871.1,2022-09-09
I000169,C0004,P0271,purchase,1,Sports,436.96,2022-07-26
I000170,C0004,P0406,purchase,1,Grocery,870.07,2022-11-10
I000171,C0004,P0223,purchase,4,Home & Kitchen,1020.88,2023-10-08
I000172,C0004,P0184,purchase,5,Home & Kitchen,5324.36,2024-12-04
I000173,C0004,P0251,view,0,Sports,2151.32,2023-12-16
I000174,C0004,P0053,view,0,Electronics,776.96,2022-09-25
I000175,C0004,P0438,cart,0,Grocery,1445.23,2022-05-30
I000176,C0004,P0242,cart,0,Sports,313.28,2025-05-19
I000177,C0004,P0282,view,0,Sports,669.13,2023-05-30
I000178,C0004,P0290,cart,0,Beauty,2469.0,2024-02-06
I000179,C0004,P0370,purchase,2,Toys,838.71,2024-11-06
I000180,C0004,P0314,cart,0,Beauty,814.37,2024-03-08
I000181,C0004,P0213,cart,0,Home & Kitchen,2453.01,2024-05-19
I000182,C0004,P0391,view,0,Toys,1357.8,2023-07-10
I000183,C0004,P0281,view,0,Sports,1740.32,2025-02-03
I000184,C0004,P0441,view,0,Grocery,3138.26,2025-02-01
I000185,C0004,P0140,purchase,5,Clothing,1574.01,2023-01-18
I000186,C0004,P0159,cart,0,Clothing,1597.85,2023-08-21
I000187,C0004,P0027,cart,0,Electronics,122.64,2022-04-02
I000188,C0004,P0342,cart,0,Beauty,2020.64,2022-03-23
I000189,C0004,P0162,cart,0,Clothing,242.46,2022-10-21
I000190,C0004,P0118,cart,0,Books,161.9,2024-02-21
I000191,C0004,P0337,purchase,5,Beauty,885.33,2022-11-08
I000192,C0004,P0075,cart,0,Books,743.35,2024-02-14
I000193,C0004,P0093,purchase,1,Books,3323.72,2024-09-16
I000194,C0004,P0034,view,0,Electronics,1441.15,2023-12-09
I000195,C0004,P0115,view,0,Books,2866.96,2024-09-24
I000196,C0004,P0421,view,0,Grocery,472.63,2023-04-30
I000197,C0004,P0442,cart,0,Grocery,3128.43,2023-03-19
I000198,C0004,P0113,purchase,5,Books,692.24,2025-03-26
I000199,C0005,P0158,purchase,5,Clothing,4811.9,2024-10-03
I000200,C0005,P0120,view,0,Books,404.62,2025-03-24
I000201,C0005,P0226,view,0,Home & Kitchen,304.53,2024-09-30
I000202,C0005,P0266,view,0,Sports,1161.73,2024-09-02
I000203,C0006,P0161,cart,0,Clothing,4482.57,2024-07-16
I000204,C0006,P0309,view,0,Beauty,2099.24,2025-03-08
I000205,C0006,P0177,view,0,Clothing,286.54,2024-07-17
I000206,C0006,P0335,view,0,Beauty,1648.23,2024-09-14
I000207,C0007,P0453,cart,0,Grocery,598.74,2024-12-10
I000208,C0007,P0235,purchase,5,Sports,1581.89,2025-01-09
I000209,C0007,P0174,view,0,Clothing,527.97,2024-04-06
I000210,C0008,P0318,purchase,4,Beauty,1082.31,2024-08-01
I000211,C0008,P0158,purchase,1,Clothing,4811.9,2024-01-08
I000212,C0008,P0234,view,0,Sports,680.99,2025-04-23
I000213,C0008,P0066,purchase,4,Books,1175.45,2023-11-13
I000214,C0008,P0134,view,0,Clothing,122.13,2025-01-16
I000215,C0008,P0255,cart,0,Sports,505.19,2023-02-12
I000216,C0008,P0055,view,0,Electronics,635.9,2024-07-20
I000217,C0008,P0269,cart,0,Sports,1450.67,2024-02-16
I000218,C0008,P0189,purchase,1,Home & Kitchen,268.34,2023-11-06
I000219,C0008,P0019,cart,0,Electronics,1200.17,2023-10-13
I000220,C0008,P0224,cart,0,Home & Kitchen,696.92,2024-06-02
I000221,C0008,P0143,view,0,Clothing,247.81,2023-12-31
I000222,C0008,P0037,view,0,Electronics,542.71,2024-06-27
I000223,C0008,P0148,view,0,Clothing,910.79,2024-10-23
I000224,C0008,P0148,view,0,Clothing,910.79,2024-03-12
I000225,C0008,P0171,cart,0,Clothing,4512.25,2024-07-09
I000226,C0008,P0418,view,0,Grocery,7193.17,2024-03-23
I000227,C0008,P0318,purchase,4,Beauty,1082.31,2025-05-09
I000228,C0008,P0341,purchase,5,Beauty,2012.81,2023-02-01
I000229,C0008,P0317,view,0,Beauty,3884.89,2023-10-19
I000230,C0008,P0349,purchase,5,Toys,2714.37,2023-04-22
I000231,C0008,P0027,purchase,2,Electronics,122.64,2024-04-15
I000232,C0008,P0126,view,0,Clothing,172.34,2024-12-22
I000233,C0008,P0401,cart,0,Grocery,1200.48,2025-03-02
I000234,C0009,P0145,purchase,4,Clothing,134.32,2024-02-17
I000235,C0009,P0341,view,0,Beauty,2012.81,2024-05-27
I000236,C0009,P0278,purchase,3,Sports,172.93,2024-11-17
I000237,C0009,P0347,view,0,Beauty,1411.15,2025-06-19
I000238,C0009,P0182,cart,0,Home & Kitchen,3425.58,2024-06-04
I000239,C0009,P0251,purchase,1,Sports,2151.32,2024-10-26
I000240,C0009,P0226,view,0,Home & Kitchen,304.53,2025-06-28
I000241,C0009,P0213,cart,0,Home & Kitchen,2453.01,2025-01-15
I000242,C0009,P0138,purchase,4,Clothing,1794.94,2024-09-03
I000243,C0009,P0284,cart,0,Sports,3547.9,2024-03-23
I000244,C0009,P0229,cart,0,Home & Kitchen,5523.02,2024-08-27
I000245,C0009,P0033,cart,0,Electronics,794.0,2025-04-03
I000246,C0009,P0001,purchase,5,Electronics,2487.45,2025-03-07
I000247,C0009,P0009,purchase,5,Electronics,324.35,2024-12-08
I000248,C0009,P0032,view,0,Electronics,1563.45,2023-09-26
I000249,C0009,P0178,cart,0,Clothing,1813.03,2024-06-17
I000250,C0009,P0147,cart,0,Clothing,1586.1,2025-05-06
I000251,C0009,P0067,purchase,1,Books,250.68,2025-01-24
I000252,C0009,P0226,cart,0,Home & Kitchen,304.53,2023-12-02
I000253,C0009,P0442,view,0,Grocery,3128.43,2025-06-02
I000254,C0009,P0070,cart,0,Books,1268.52,2024-08-02
I000255,C0009,P0120,purchase,4,Books,404.62,2025-01-27
I000256,C0009,P0208,cart,0,Home & Kitchen,1496.77,2024-02-26
I000257,C0009,P0264,purchase,3,Sports,591.71,2025-05-25
I000258,C0009,P0238,view,0,Sports,1463.26,2025-04-01
I000259,C0009,P0024,view,0,Electronics,573.84,2025-01-11
I000260,C0009,P0227,view,0,Home & Kitchen,1635.13,2024-04-21
I000261,C0009,P0339,cart,0,Beauty,1454.98,2025-05-23
I000262,C0009,P0381,view,0,Toys,1878.67,2025-02-20
I000263,C0009,P0409,cart,0,Grocery,1207.85,2024-11-13
I000264,C0009,P0395,purchase,4,Toys,675.51,2023-10-18
I000265,C0009,P0265,purchase,2,Sports,5261.75,2024-06-25
I000266,C0009,P0006,purchase,5,Electronics,457.03,2024-04-10
I000267,C0009,P0058,purchase,1,Electronics,1608.12,2024-01-31
I000268,C0009,P0100,purchase,2,Books,7014.85,2023-10-09
I000269,C0010,P0445,view,0,Grocery,3300.0,2024-10-24
I000270,C0010,P0150,purchase,4,Clothing,1385.77,2024-02-26
I000271,C0010,P0293,cart,0,Beauty,2360.49,2025-06-02
I000272,C0010,P0343,cart,0,Beauty,5030.11,2025-01-12
I000273,C0010,P0094,view,0,Books,4052.29,2024-11-07
I000274,C0010,P0215,purchase,2,Home & Kitchen,1628.82,2025-03-07
I000275,C0010,P0077,purchase,5,Books,1639.97,2024-12-25
I000276,C0010,P0095,purchase,5,Books,5069.6,2025-04-06
I000277,C0011,P0126,view,0,Clothing,172.34,2024-03-30
I000278,C0011,P0140,cart,0,Clothing,1574.01,2025-01-26
I000279,C0011,P0097,cart,0,Books,1095.2,2024-03-04
I000280,C0011,P0081,purchase,5,Books,1864.97,2023-11-18
I000281,C0011,P0123,purchase,2,Books,246.86,2024-02-04
I000282,C0011,P0254,view,0,Sports,1133.47,2023-06-12
I000283,C0011,P0431,cart,0,Grocery,4772.51,2024-10-21
I000284,C0011,P0285,purchase,2,Sports,2164.17,2023-04-02
I000285,C0011,P0363,view,0,Toys,268.05,2025-04-13
I000286,C0011,P0108,view,0,Books,717.72,2025-02-20
I000287,C0011,P0044,cart,0,Electronics,1567.66,2024-07-06
I000288,C0011,P0104,view,0,Books,2590.99,2023-07-04
I000289,C0011,P0141,purchase,5,Clothing,3635.36,2025-04-02
I000290,C0011,P0279,purchase,4,Sports,2478.08,2025-06-20
I000291,C0011,P0427,cart,0,Grocery,480.26,2025-04-15
I000292,C0011,P0374,purchase,5,Toys,461.99,2024-11-05
I000293,C0011,P0096,view,0,Books,646.27,2025-01-18
I000294,C0011,P0378,purchase,5,Toys,216.17,2023-08-11
I000295,C0011,P0144,cart,0,Clothing,1698.46,2025-03-12
I000296,C0011,P0069,purchase,2,Books,724.7,2025-01-21
